Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Kinshasa,CD10,Kinshasa,CD1000,Binza Ozone,CD1000ZS04,CD100004,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kasa-Vubu,CD1000ZS10,CD100010,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kingabwa,CD1000ZS13,CD100013,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kisenso,CD1000ZS17,CD100017,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kokolo,CD1000ZS18,CD100018,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Nsele,CD1000ZS33,CD100033,0,0,0,0,
Kongo-Central,CD20,Matadi,CD2001,Matadi,CD2001ZS01,CD200101,0,0,0,0,
Kongo-Central,CD20,Lukula,CD2005,Lukula,CD2005ZS02,CD200502,0,0,0,0,
Kongo-Central,CD20,Tshela,CD2007,Vaku,CD2007ZS05,CD200705,0,0,0,0,
Kongo-Central,CD20,Luozi,CD2010,Mangembo,CD2010ZS03,CD201003,0,0,0,0,
Kongo-Central,CD20,Songololo,CD2011,Kimpese,CD2011ZS01,CD201101,0,0,0,0,
Kongo-Central,CD20,Songololo,CD2011,Nsona-Mpangu,CD2011ZS02,CD201102,0,0,0,0,
Kongo-Central,CD20,Mbanza-Ngungu,CD2013,Kimpangu,CD2013ZS03,CD201303,0,0,0,0,
Kwango,CD31,Kenge,CD3102,Kimbau,CD3102ZS03,CD310203,0,0,0,0,
Kwango,CD31,Feshi,CD3103,Feshi,CD3103ZS01,CD310301,0,0,0,0,
Kwango,CD31,Feshi,CD3103,Kisanji,CD3103ZS02,CD310302,0,0,0,0,
Kwango,CD31,Kahemba,CD3105,Kahemba,CD3105ZS01,CD310501,0,0,0,0,
Kwango,CD31,Kahemba,CD3105,Kajiji,CD3105ZS02,CD310502,0,0,0,0,
Kwango,CD31,Kasongo-Lunda,CD3106,Wamba Lwadi,CD3106ZS05,CD310605,0,0,0,0,
Kwilu,CD32,Bagata,CD3202,Sia,CD3202ZS03,CD320203,0,0,0,0,
Kwilu,CD32,Kikwit,CD3203,Kikwit-Sud,CD3203ZS02,CD320302,0,0,0,0,
